file_name,column_name,viewpoint,result,summary
DBDetectOutlier.csv,BANKCode,,NG,41/42
DBDetectOutlier.csv,BANKCode,,NA,0/0
DBDetectOutlier.csv,BANKCode,,OK,42/42
DBDetectOutlier.csv,BANKCode,,NG,10.5/6.103277807866851
DBDetectOutlier.csv,KEIY_SEQ,,OK,42/42
DBDetectOutlier.csv,KEIY_SEQ,,OK,234774.16666666666/130552.20234248147
DBDetectOutlier.csv,KEIY_SEQ,,NG,41/42
DBDetectOutlier.csv,KEIY_SEQ,,NG,1.024390243902439/0.1542574468374818
DBDetectOutlier.csv,CIF_NO,,NA,7/42
DBDetectOutlier.csv,CIF_NO,,NA,0/0
DBDetectOutlier.csv,CIF_NO,,NA,35/42
DBDetectOutlier.csv,CIF_NO,,NG,1.75/1.299038105676658
DBDetectOutlier.csv,LOGIN_PWD,,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD,,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD,,NA,23/42
DBDetectOutlier.csv,LOGIN_PWD,,NG,3.8/2.227105745132009
DBDetectOutlier.csv,LOGIN_PWD_Date,,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD_Date,,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD_Date,,NA,34/42
DBDetectOutlier.csv,LOGIN_PWD_Date,,NG,2.8/5.443038367186719
DBDetectOutlier.csv,User_PWD,,NA,0/42
DBDetectOutlier.csv,User_PWD,,NA,0/0
DBDetectOutlier.csv,User_PWD,,NA,39/42
DBDetectOutlier.csv,User_PWD,,NG,1.0/0.816496580927726
DBDetectOutlier.csv,CreateDate,,NA,0/42
DBDetectOutlier.csv,CreateDate,,NA,0/0
DBDetectOutlier.csv,CreateDate,,NA,31/42
DBDetectOutlier.csv,CreateDate,,NG,6.4/11.306635220082056
DBDetectOutlier.csv,Email,,NA,0/42
DBDetectOutlier.csv,Email,,NA,0/0
DBDetectOutlier.csv,Email,,NG,40/42
DBDetectOutlier.csv,Email,,NG,14.0/18.384776310850235
DBDetectOutlier.csv,STRT_YMD,,OK,42/42
DBDetectOutlier.csv,STRT_YMD,,OK,20143245.38095238/4233.399989833574
DBDetectOutlier.csv,STRT_YMD,,OK,42/42
DBDetectOutlier.csv,STRT_YMD,,NG,1.2352941176470589/0.4241825029957634
DBDetectOutlier.csv,STOP_YMD,,NA,32/42
DBDetectOutlier.csv,STOP_YMD,,NA,0/0
DBDetectOutlier.csv,STOP_YMD,,NA,32/42
DBDetectOutlier.csv,STOP_YMD,,NG,16.0/16.0
DBDetectOutlier.csv,T_DT,,NA,0/42
DBDetectOutlier.csv,T_DT,,NA,0/0
DBDetectOutlier.csv,T_DT,,NA,39/42
DBDetectOutlier.csv,T_DT,,NG,1.5/1.5
DBDetectOutlier.csv,MAIL_STOP_DT,,NA,0/42
DBDetectOutlier.csv,MAIL_STOP_DT,,NA,0/0
DBDetectOutlier.csv,MAIL_STOP_DT,,NA,29/42
DBDetectOutlier.csv,MAIL_STOP_DT,,NG,2.6/3.7202150475476548
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['BANKCode', 'BANKCode', 'BANKCode', 'BANKCode']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NG', 'NA', 'OK', 'NG']","['41/42', '0/0', '42/42', '10.5/6.103277807866851']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['KEIY_SEQ', 'KEIY_SEQ', 'KEIY_SEQ', 'KEIY_SEQ']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['OK', 'OK', 'NG', 'NG']","['42/42', '234774.16666666666/130552.20234248147', '41/42', '1.024390243902439/0.1542574468374818']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['CIF_NO', 'CIF_NO', 'CIF_NO', 'CIF_NO']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['7/42', '0/0', '35/42', '1.75/1.299038105676658']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['LOGIN_PWD', 'LOGIN_PWD', 'LOGIN_PWD', 'LOGIN_PWD']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '23/42', '3.8/2.227105745132009']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['LOGIN_PWD_Date', 'LOGIN_PWD_Date', 'LOGIN_PWD_Date', 'LOGIN_PWD_Date']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '34/42', '2.8/5.44303836718672']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['User_PWD', 'User_PWD', 'User_PWD', 'User_PWD']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '39/42', '1.0/0.816496580927726']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['CreateDate', 'CreateDate', 'CreateDate', 'CreateDate']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '31/42', '6.4/11.306635220082056']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['Email', 'Email', 'Email', 'Email']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NG', 'NG']","['0/42', '0/0', '40/42', '14.0/18.384776310850235']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['STRT_YMD', 'STRT_YMD', 'STRT_YMD', 'STRT_YMD']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['OK', 'OK', 'OK', 'NG']","['42/42', '20143245.38095238/4233.399989833574', '42/42', '1.2352941176470589/0.4241825029957634']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['STOP_YMD', 'STOP_YMD', 'STOP_YMD', 'STOP_YMD']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['32/42', '0/0', '32/42', '16.0/16.0']"
